trading_symbol,segment,instrument_key,name
SENSEX,BSE_INDEX,BSE_INDEX|SENSEX,S&P BSE Sensex
RELIANCE,BSE_EQ,BSE_EQ|RELIANCE,Reliance Industries
HDFCBANK,BSE_EQ,BSE_EQ|HDFCBANK,HDFC Bank
ICICIBANK,BSE_EQ,BSE_EQ|ICICIBANK,ICICI Bank
INFY,BSE_EQ,BSE_EQ|INFY,Infosys
TCS,BSE_EQ,BSE_EQ|TCS,Tata Consultancy Services
SBIN,BSE_EQ,BSE_EQ|SBIN,State Bank of India
BHARTIARTL,BSE_EQ,BSE_EQ|BHARTIARTL,Bharti Airtel
ITC,BSE_EQ,BSE_EQ|ITC,ITC
LT,BSE_EQ,BSE_EQ|LT,Larsen and Toubro
AXISBANK,BSE_EQ,BSE_EQ|AXISBANK,Axis Bank
KOTAKBANK,BSE_EQ,BSE_EQ|KOTAKBANK,Kotak Mahindra Bank
HINDUNILVR,BSE_EQ,BSE_EQ|HINDUNILVR,Hindustan Unilever
MARUTI,BSE_EQ,BSE_EQ|MARUTI,Maruti Suzuki
NTPC,BSE_EQ,BSE_EQ|NTPC,NTPC
POWERGRID,BSE_EQ,BSE_EQ|POWERGRID,Power Grid
ULTRACEMCO,BSE_EQ,BSE_EQ|ULTRACEMCO,UltraTech Cement
TITAN,BSE_EQ,BSE_EQ|TITAN,Titan
BAJFINANCE,BSE_EQ,BSE_EQ|BAJFINANCE,Bajaj Finance
BAJAJFINSV,BSE_EQ,BSE_EQ|BAJAJFINSV,Bajaj Finserv
M&M,BSE_EQ,BSE_EQ|M&M,Mahindra and Mahindra
TATASTEEL,BSE_EQ,BSE_EQ|TATASTEEL,Tata Steel
SUNPHARMA,BSE_EQ,BSE_EQ|SUNPHARMA,Sun Pharma
ASIANPAINT,BSE_EQ,BSE_EQ|ASIANPAINT,Asian Paints
NESTLEIND,BSE_EQ,BSE_EQ|NESTLEIND,Nestle India
HCLTECH,BSE_EQ,BSE_EQ|HCLTECH,HCL Technologies
TECHM,BSE_EQ,BSE_EQ|TECHM,Tech Mahindra
INDUSINDBK,BSE_EQ,BSE_EQ|INDUSINDBK,IndusInd Bank
ADANIPORTS,BSE_EQ,BSE_EQ|ADANIPORTS,Adani Ports
WIPRO,BSE_EQ,BSE_EQ|WIPRO,Wipro
TATAMOTORS,BSE_EQ,BSE_EQ|TATAMOTORS,Tata Motors
