symbol,weight,sector
RELIANCE,0.114,energy
HDFCBANK,0.112,bank
ICICIBANK,0.090,bank
INFY,0.074,it
TCS,0.067,it
SBIN,0.041,bank
BHARTIARTL,0.038,telecom
ITC,0.037,fmcg
LT,0.036,industrial
AXISBANK,0.033,bank
KOTAKBANK,0.032,bank
HINDUNILVR,0.031,fmcg
MARUTI,0.028,auto
NTPC,0.024,energy
POWERGRID,0.022,energy
ULTRACEMCO,0.020,industrial
TITAN,0.019,consumer
BAJFINANCE,0.019,finance
BAJAJFINSV,0.018,finance
M&M,0.018,auto
TATASTEEL,0.017,metal
SUNPHARMA,0.017,pharma
ASIANPAINT,0.016,consumer
NESTLEIND,0.015,fmcg
HCLTECH,0.015,it
TECHM,0.014,it
INDUSINDBK,0.014,bank
ADANIPORTS,0.013,industrial
WIPRO,0.011,it
TATAMOTORS,0.010,auto
