2026-03-10 02:27:38.164 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-03: Raw parquet missing for 2022-01-03: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-03.parquet
2026-03-10 02:27:38.165 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-04: Raw parquet missing for 2022-01-04: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-04.parquet
2026-03-10 02:27:38.165 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-05: Raw parquet missing for 2022-01-05: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-05.parquet
2026-03-10 02:27:38.166 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-06: Raw parquet missing for 2022-01-06: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-06.parquet
2026-03-10 02:27:38.166 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-07: Raw parquet missing for 2022-01-07: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-07.parquet
2026-03-10 02:27:38.167 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-10: Raw parquet missing for 2022-01-10: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-10.parquet
2026-03-10 02:27:38.168 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-11: Raw parquet missing for 2022-01-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-11.parquet
2026-03-10 02:27:38.168 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-12: Raw parquet missing for 2022-01-12: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-12.parquet
2026-03-10 02:27:38.169 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-13: Raw parquet missing for 2022-01-13: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-13.parquet
2026-03-10 02:27:38.169 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-14: Raw parquet missing for 2022-01-14: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-14.parquet
2026-03-10 02:27:38.169 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-17: Raw parquet missing for 2022-01-17: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-17.parquet
2026-03-10 02:27:38.170 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-18: Raw parquet missing for 2022-01-18: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-18.parquet
2026-03-10 02:27:38.170 | WARNING  | __main__:119 |   Preprocess skipped 2022-01-19: Raw parquet missing for 2022-01-19: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\01\master_2022-01-19.parquet
